order_id,customer_id,order_date,total_amount,status,channel
91.0,2609.0,,,CANCELLED,store
92.0,388.0,,R -200,CANCELLED,store
93.0,,,R 381,Done,
94.0,1366.0,13/08/1983,"R821,74",completed,
95.0,2466.0,2018/04/20,"R1938,19",CANCELLED,store
96.0,305.0,2005-12-30,"R854,34",CANCELLED,web
97.0,1920.0,invalid_date,3067,CANCELLED,web
98.0,3973.0,2011-12-04,R -200,Completed,
,4406.0,1979/12/17,R 1316,completed,
100.0,2800.0,05/09/1993,"R3220,51",Done,web
101.0,1384.0,08/05/1975,2236,,app
102.0,3119.0,invalid_date,,completed,
103.0,3464.0,invalid_date,R 4621,,app
104.0,3595.0,2025-07-04,,CANCELLED,
105.0,4575.0,invalid_date,"R3437,35",completed,app
106.0,1757.0,2009-02-13,"R2158,66",CANCELLED,web
107.0,2908.0,14/11/1976,1975,CANCELLED,
108.0,,07/11/2020,,,app
109.0,1425.0,,R -200,CANCELLED,web
110.0,2522.0,,2609,completed,app
111.0,2563.0,invalid_date,"R4895,68",CANCELLED,
112.0,1310.0,invalid_date,"R1320,69",,app
113.0,2919.0,,257,,web
114.0,4367.0,1987-04-18,"R2453,80",,store
115.0,728.0,1977/10/02,R -200,CANCELLED,
116.0,4243.0,1978-06-24,"R272,2",completed,app
117.0,4172.0,,"R742,32",completed,store
118.0,1899.0,,"R4952,23",CANCELLED,store
119.0,2109.0,20/05/2015,R -200,completed,app
120.0,3343.0,invalid_date,,,
121.0,2776.0,,"R62,63",completed,app
122.0,4688.0,1980-12-16,2418,Completed,app
,197.0,invalid_date,,,web
124.0,4162.0,,R 4363,CANCELLED,app
,3741.0,,R -200,,
,1434.0,2015/10/01,R 298,CANCELLED,
127.0,312.0,,"R4192,12",Completed,app
128.0,2358.0,17/09/2016,,,
129.0,442.0,invalid_date,"R88,24",completed,
130.0,2408.0,1990/11/21,,completed,store
,,1998-08-25,"R564,65",CANCELLED,
132.0,,2002-05-06,"R2455,57",,store
,4262.0,09/09/2003,R 1553,completed,store
134.0,1013.0,1978-11-02,R -200,,
135.0,766.0,1989/07/02,,Completed,
136.0,4512.0,2001-04-26,4468,,web
137.0,3697.0,,R -200,CANCELLED,app
138.0,3739.0,1977-10-05,,Completed,
139.0,4752.0,1981-08-13,R -200,Completed,web
140.0,4052.0,2007-01-23,"R4083,4",CANCELLED,store
141.0,3197.0,2024-02-24,"R1736,69",Completed,web
142.0,2068.0,13/06/1981,"R653,70",Done,store
143.0,817.0,,,completed,web
144.0,,,R 3329,Completed,app
145.0,4433.0,invalid_date,4379,Completed,store
146.0,2689.0,invalid_date,"R4796,16",completed,store
147.0,3824.0,invalid_date,R 4702,Done,app
148.0,1097.0,1984-10-17,,Done,app
149.0,2258.0,invalid_date,"R1031,4",Completed,app
150.0,3552.0,1988/06/07,"R2994,6",completed,web
151.0,2008.0,,R 368,Done,store
152.0,2695.0,2011-01-30,4947,Done,app
153.0,587.0,21/09/1988,,completed,web
154.0,418.0,,R 1133,Done,web
155.0,4306.0,20/09/1978,R -200,Completed,app
156.0,2873.0,,R -200,Done,
157.0,1770.0,05/02/2010,,Done,
158.0,3537.0,invalid_date,,Completed,web
159.0,4971.0,2025-08-25,R -200,CANCELLED,
160.0,4178.0,1975/12/12,R 4998,,app
161.0,751.0,invalid_date,,CANCELLED,store
162.0,4385.0,2006/09/24,R 1208,CANCELLED,store
163.0,,invalid_date,R 407,Done,app
164.0,3351.0,,R -200,CANCELLED,
165.0,725.0,2017-09-27,R 788,CANCELLED,store
166.0,4664.0,invalid_date,R 1955,,store
167.0,22.0,invalid_date,R -200,Done,app
168.0,2940.0,1997-06-20,R 2741,,web
169.0,,2015-11-28,,Done,app
170.0,4984.0,,"R44,39",Completed,app
171.0,2913.0,01/10/1983,842,Done,app
172.0,4303.0,,"R2218,54",,
173.0,4066.0,invalid_date,R 4714,CANCELLED,
174.0,4660.0,11/06/1979,"R3468,45",CANCELLED,app
175.0,3742.0,29/11/1976,,Completed,
176.0,344.0,2000/09/05,,,store
177.0,3371.0,22/08/2016,R -200,CANCELLED,web
178.0,4599.0,16/09/2010,2215,completed,
179.0,4200.0,30/07/2010,R -200,,
180.0,1600.0,1977/02/23,R 2120,completed,
181.0,,1983/05/17,R -200,Completed,web
182.0,1554.0,2010-12-10,,completed,
183.0,4746.0,1972/08/02,R -200,completed,web
184.0,4859.0,invalid_date,,Completed,store
185.0,17.0,2021/03/07,R -200,Completed,store
186.0,2664.0,1997/03/12,,Done,web
187.0,,invalid_date,,Done,app
188.0,3149.0,05/07/2024,"R2387,78",completed,web
189.0,3668.0,,R 2104,CANCELLED,app
190.0,,,"R638,96",Completed,web
191.0,4341.0,15/11/2001,R -200,Completed,app
192.0,4081.0,1993/10/27,R 3901,completed,app
193.0,3367.0,,117,Done,
194.0,4536.0,,R -200,Completed,app
195.0,3730.0,21/10/1999,R 4360,Done,app
196.0,4426.0,1992-02-18,R -200,,store
197.0,3001.0,2005-07-30,R 4543,CANCELLED,store
198.0,4176.0,,R -200,Completed,app
199.0,288.0,2013-06-24,,Completed,web
200.0,832.0,,1115,Done,store
201.0,1303.0,1985/06/25,R -200,Completed,app
202.0,1905.0,invalid_date,2304,,
203.0,4995.0,02/12/2012,R 3139,Done,store
204.0,,,"R2773,16",Completed,app
205.0,4865.0,,R 3539,completed,
206.0,,1978-03-28,401,,web
207.0,702.0,,R 4234,completed,
,742.0,2016/04/04,R 633,completed,web
209.0,2648.0,1976-06-06,,completed,app
210.0,948.0,17/02/2001,,Completed,web
211.0,1862.0,28/01/1998,R -200,completed,
212.0,1212.0,,R 2162,completed,app
213.0,100.0,1992-12-19,,CANCELLED,store
214.0,2558.0,2014/05/17,"R1344,83",CANCELLED,web
215.0,1514.0,invalid_date,"R3446,51",,store
216.0,3010.0,1971/01/20,R 82,Done,store
217.0,13.0,24/09/2017,R 3015,CANCELLED,app
218.0,4283.0,1993/07/10,"R4144,68",completed,web
219.0,876.0,2010-10-23,R 4722,completed,store
220.0,2605.0,invalid_date,2764,CANCELLED,
221.0,3925.0,,2987,Completed,store
222.0,4502.0,,R 2791,Done,store
223.0,,invalid_date,,,store
224.0,,1973/02/09,,completed,web
225.0,2652.0,,"R2153,24",Done,app
226.0,3478.0,1984/12/15,4619,completed,web
227.0,2789.0,invalid_date,,completed,web
228.0,2870.0,,R 1801,Done,app
229.0,3933.0,,1212,Completed,store
230.0,2707.0,02/02/1988,R -200,CANCELLED,
231.0,877.0,invalid_date,89,completed,
232.0,1225.0,invalid_date,,,app
233.0,4651.0,2011/02/02,3264,completed,app
234.0,4549.0,08/04/2010,R 4602,completed,store
235.0,117.0,1978/08/04,620,CANCELLED,app
236.0,751.0,,"R183,29",completed,
237.0,2294.0,,,Completed,app
238.0,4839.0,1986/04/14,,Done,web
239.0,,invalid_date,4971,completed,
240.0,2428.0,invalid_date,51,,web
241.0,4396.0,,R -200,Completed,web
242.0,1588.0,invalid_date,R -200,completed,app
243.0,543.0,1972/05/24,R 4253,,store
244.0,,invalid_date,,completed,web
245.0,2101.0,invalid_date,R 4134,CANCELLED,web
246.0,2063.0,,,CANCELLED,app
247.0,3494.0,,,CANCELLED,
248.0,,,"R3875,52",CANCELLED,web
249.0,1234.0,invalid_date,R -200,completed,
250.0,1704.0,13/02/2012,R 1166,completed,app
251.0,3661.0,1972-06-25,R 3074,completed,store
252.0,353.0,invalid_date,,Done,app
253.0,4393.0,2019-10-11,R -200,,
254.0,1829.0,1991-07-17,"R3845,14",completed,app
255.0,3526.0,1993-11-09,"R1850,9",,web
256.0,2565.0,10/08/2023,R 229,Done,web
257.0,1303.0,invalid_date,R -200,completed,app
258.0,3939.0,14/08/1970,R 394,Completed,store
259.0,4983.0,invalid_date,3115,,
260.0,4819.0,2023-05-11,,Done,store
261.0,1983.0,04/08/1995,R 4669,Done,app
262.0,,18/07/1990,R -200,CANCELLED,
263.0,1613.0,invalid_date,3056,completed,app
264.0,2373.0,25/05/1987,R 1872,Completed,
265.0,1271.0,invalid_date,R -200,completed,store
266.0,608.0,invalid_date,191,,web
267.0,1256.0,2009-08-14,1549,,web
,1048.0,,R -200,Done,store
269.0,,2020/12/29,,,store
270.0,1126.0,invalid_date,R -200,Done,store
271.0,1297.0,,"R3429,62",CANCELLED,
272.0,,invalid_date,R -200,completed,store
273.0,3781.0,2015/06/10,,completed,
274.0,4050.0,2004-12-19,,Done,
275.0,4637.0,invalid_date,R 1680,Done,web
276.0,3487.0,1996/12/30,949,completed,web
277.0,928.0,invalid_date,R 4021,Done,store
278.0,3321.0,21/07/1993,R 4417,Done,web
279.0,1451.0,1999-08-19,3015,Completed,web
280.0,1119.0,1994/02/12,2503,completed,
281.0,3075.0,,"R4359,92",CANCELLED,app
282.0,3567.0,,,Completed,
283.0,4568.0,2018/10/30,"R4152,72",completed,store
,3053.0,2005-03-25,R 2584,Completed,app
285.0,54.0,invalid_date,"R3746,34",Done,web
286.0,1337.0,,R 1382,,web
,3916.0,1990/08/05,R -200,Completed,
288.0,40.0,2010/11/15,R 649,completed,
289.0,4732.0,2016/11/24,,Done,store
290.0,4578.0,2010/06/03,,CANCELLED,web
291.0,1945.0,2000/08/18,R 4247,CANCELLED,
292.0,4701.0,06/11/2005,R 4652,,
293.0,2148.0,1996/12/08,3727,Done,
294.0,5000.0,invalid_date,"R317,49",Done,store
295.0,2539.0,1979/07/27,R 3046,,app
296.0,973.0,2022-06-29,3606,Done,web
297.0,1647.0,2022-10-12,R -200,Completed,app
298.0,515.0,1982/03/17,R 2473,Completed,
299.0,,26/04/2012,R -200,Done,
300.0,4443.0,29/08/1992,R 4276,Completed,app
301.0,2081.0,invalid_date,3967,,
302.0,4062.0,09/02/2009,R 737,CANCELLED,
303.0,1077.0,,4914,completed,app
304.0,501.0,2012/07/22,R -200,,
305.0,3766.0,2018-05-07,,,store
306.0,,,,CANCELLED,
307.0,3952.0,27/06/1998,,completed,web
308.0,4920.0,25/09/1980,"R2815,51",completed,
309.0,90.0,03/08/1997,R 3730,Done,
310.0,1907.0,,R 1727,completed,store
311.0,1093.0,invalid_date,540,CANCELLED,app
312.0,467.0,invalid_date,,completed,app
313.0,3673.0,,2760,Completed,web
314.0,2185.0,,R -200,CANCELLED,app
315.0,119.0,1999-03-14,,,web
316.0,3873.0,,3381,completed,store
317.0,332.0,invalid_date,"R1396,39",CANCELLED,web
,2184.0,1970-04-28,R -200,completed,store
319.0,4673.0,1978/06/20,R 3664,CANCELLED,
320.0,1399.0,,3378,Completed,web
321.0,687.0,invalid_date,R 2664,Completed,web
,,1995/03/19,R -200,Done,
323.0,3849.0,24/09/2003,R 2994,,app
324.0,4404.0,,4621,completed,store
325.0,3380.0,1973/06/07,,,
326.0,1112.0,25/03/1990,"R3990,98",Done,
327.0,3062.0,2002/08/11,1343,Done,
328.0,4541.0,2018/10/05,R 3516,Done,app
329.0,2723.0,1998/11/04,1168,Done,app
330.0,,,658,CANCELLED,
331.0,3420.0,07/11/2020,R 4782,Completed,
332.0,2028.0,1999-09-16,"R1972,47",completed,web
333.0,4280.0,1997/03/27,R 1524,,app
334.0,1549.0,1998-07-26,"R4083,94",CANCELLED,web
335.0,4849.0,1988-04-14,"R544,86",Completed,
336.0,2183.0,12/01/2020,R 4489,Done,web
337.0,2978.0,1976/04/10,R 4189,Completed,web
338.0,1618.0,09/07/2019,,Completed,
339.0,2172.0,1999/01/25,R 517,Done,web
340.0,1924.0,1974/09/15,516,CANCELLED,app
341.0,,2004-02-16,,Completed,web
342.0,4952.0,22/07/1987,R -200,Completed,
343.0,4736.0,2021-04-23,R 647,Completed,app
344.0,3056.0,,738,CANCELLED,web
345.0,734.0,2011-10-09,"R4095,61",Done,app
346.0,1901.0,invalid_date,R 3181,Done,app
347.0,257.0,,R 3826,,web
348.0,13.0,07/06/2002,R -200,CANCELLED,app
349.0,1107.0,,R -200,,store
350.0,,20/03/1990,R 535,Completed,web
351.0,1850.0,27/07/2014,R 3648,,store
352.0,,,2919,completed,web
353.0,3687.0,invalid_date,R -200,Done,app
354.0,642.0,1993-07-06,"R1832,79",CANCELLED,
355.0,949.0,,,Completed,web
356.0,4303.0,,"R4793,46",completed,app
357.0,,,"R4192,62",completed,web
358.0,1637.0,2020-07-21,,Completed,
359.0,1033.0,2012/07/25,R -200,Completed,
360.0,4283.0,2024/06/22,,completed,app
361.0,2149.0,2000-03-09,R -200,Done,store
362.0,,21/07/2013,624,completed,store
363.0,4977.0,invalid_date,4127,completed,web
,561.0,,"R547,95",Completed,app
365.0,1109.0,,1173,Completed,store
366.0,4682.0,2013-08-27,"R4512,99",CANCELLED,store
367.0,3393.0,2012-12-22,R -200,CANCELLED,store
368.0,2798.0,2009/03/28,"R4433,50",Done,app
369.0,,2019/12/20,"R210,67",Completed,app
370.0,1531.0,14/02/1978,R -200,,app
371.0,1229.0,05/05/2016,"R3481,63",completed,web
372.0,432.0,2019-02-23,R 2095,,
373.0,3759.0,1976-11-21,3995,Done,web
374.0,822.0,,,Done,web
375.0,2025.0,02/07/1978,"R3165,45",CANCELLED,app
376.0,4023.0,invalid_date,"R2186,10",,web
377.0,,2021/11/28,,CANCELLED,app
378.0,1134.0,1981-06-29,1766,CANCELLED,app
379.0,2804.0,,R -200,,store
380.0,1057.0,invalid_date,"R1979,0",,app
381.0,1079.0,2001-06-08,R -200,CANCELLED,web
382.0,831.0,invalid_date,219,Done,store
383.0,775.0,19/11/1971,R -200,Completed,store
,1759.0,1994/06/27,R -200,,
385.0,1456.0,2004/01/16,1077,Completed,store
386.0,1077.0,1986/03/07,2010,completed,
387.0,1960.0,18/12/2016,,,
388.0,714.0,09/06/1978,,completed,store
389.0,329.0,1985/03/27,"R4255,44",Done,web
390.0,3098.0,13/08/1972,"R422,77",Done,
391.0,4382.0,06/12/1975,R 2441,CANCELLED,
392.0,,invalid_date,R -200,,web
393.0,4494.0,invalid_date,R 4571,Completed,
394.0,937.0,invalid_date,,completed,web
395.0,1483.0,2005/02/13,R -200,Done,store
396.0,860.0,2020/02/16,"R1296,51",completed,app
397.0,4362.0,1990-09-07,"R4620,44",Done,
398.0,1151.0,2019/06/16,923,Done,app
399.0,4142.0,1979-02-26,R -200,,store
400.0,3888.0,2021/10/11,"R4920,52",,store
401.0,2771.0,1991/04/14,R 3477,Done,
402.0,3827.0,invalid_date,1243,CANCELLED,app
403.0,3126.0,1998/11/05,3194,completed,
404.0,3073.0,23/10/2016,R 3279,,app
405.0,4384.0,1989-08-05,,CANCELLED,web
406.0,3880.0,invalid_date,"R2451,85",,app
407.0,937.0,2007/03/21,R -200,CANCELLED,app
408.0,2187.0,2022/03/03,R 2756,Done,web
409.0,1683.0,invalid_date,R 1644,Done,web
410.0,4804.0,23/04/1983,R 2995,CANCELLED,web
,3097.0,2004/01/28,"R226,95",CANCELLED,store
412.0,4319.0,13/01/1973,"R2585,24",Completed,
413.0,3654.0,2026/02/17,"R506,27",CANCELLED,store
414.0,2631.0,18/09/2020,R -200,completed,web
415.0,872.0,23/08/1992,623,completed,
,4862.0,2001-04-17,R -200,Done,
417.0,3957.0,17/04/1999,4710,CANCELLED,store
418.0,3732.0,09/10/2010,,completed,store
419.0,330.0,,4148,,web
420.0,738.0,1998-02-25,R 2500,completed,
421.0,394.0,2018/01/13,,,store
422.0,4030.0,2016/05/12,4714,completed,web
423.0,2701.0,1986-01-26,R -200,completed,app
424.0,2914.0,14/09/2005,,completed,web
425.0,,1995-07-26,R 1982,Done,web
426.0,1351.0,invalid_date,"R4444,66",completed,web
427.0,4503.0,2026-02-25,3631,Done,
428.0,1575.0,09/08/1987,1821,CANCELLED,
429.0,1585.0,1970-05-06,R -200,Completed,
430.0,2774.0,,"R1378,76",Done,
,4564.0,1974/02/18,2209,completed,
432.0,1603.0,17/10/2014,,CANCELLED,app
433.0,1777.0,2020-08-31,R -200,Completed,web
434.0,1661.0,,R -200,completed,
435.0,3561.0,,"R35,29",completed,app
436.0,3213.0,,1734,Done,app
437.0,1034.0,1971/11/02,,Done,
438.0,4906.0,02/03/1992,,,app
,1997.0,1990/11/25,"R2097,15",,app
440.0,3344.0,2017/07/19,,completed,store
441.0,4940.0,,,completed,
442.0,2656.0,invalid_date,R -200,Done,app
443.0,1706.0,2012/11/25,R 4692,,app
444.0,1145.0,28/01/2010,"R1036,85",completed,web
445.0,1181.0,1985/04/07,,Completed,web
446.0,1056.0,invalid_date,"R2258,85",CANCELLED,web
447.0,2054.0,07/07/2001,R -200,,web
448.0,853.0,18/02/2014,R -200,CANCELLED,
449.0,2355.0,1978/10/10,,CANCELLED,app
450.0,957.0,1993/11/13,727,Done,web
451.0,,invalid_date,4405,completed,web
452.0,856.0,invalid_date,169,completed,web
453.0,1774.0,,989,,
454.0,2422.0,,2808,Completed,web
455.0,3180.0,2010-08-23,,completed,store
456.0,4243.0,invalid_date,4813,Done,app
457.0,1915.0,2006/06/23,2685,completed,web
458.0,4128.0,30/03/1989,1644,Completed,
459.0,2544.0,1991-06-11,423,CANCELLED,store
460.0,1786.0,1976/11/09,R -200,,
461.0,142.0,invalid_date,,CANCELLED,web
462.0,,01/10/2022,3043,CANCELLED,store
463.0,2466.0,invalid_date,R 4538,,web
464.0,4958.0,26/10/1976,2589,CANCELLED,store
465.0,2136.0,,,,
466.0,2270.0,1982/06/12,R -200,completed,store
467.0,3426.0,1974/03/20,3832,,store
468.0,2521.0,1972-12-22,R -200,,
469.0,4529.0,2005/02/10,4976,Completed,app
,3820.0,21/04/1992,,,store
471.0,2047.0,2023-03-04,R 168,CANCELLED,web
472.0,4680.0,2010/11/19,R 4422,,
473.0,4533.0,1996-05-13,,Completed,store
474.0,3210.0,08/03/2026,R 3102,Completed,store
475.0,1132.0,11/09/1981,R -200,CANCELLED,web
476.0,,2013-11-07,2772,Completed,app
477.0,3689.0,,R -200,CANCELLED,store
478.0,3081.0,1985-07-03,341,completed,web
479.0,4499.0,2011-09-07,,Completed,store
480.0,1008.0,2003-07-10,R 419,Done,
481.0,2860.0,17/01/2000,3232,completed,web
482.0,2923.0,25/01/1989,R -200,Completed,app
483.0,4340.0,invalid_date,,completed,store
484.0,4774.0,1984-05-18,"R4751,62",,web
,1634.0,2014-02-24,,Completed,store
486.0,516.0,1984-06-19,R -200,Done,app
487.0,3092.0,invalid_date,3280,completed,store
488.0,,1995/02/19,,,web
489.0,3306.0,invalid_date,R 847,CANCELLED,store
490.0,3646.0,invalid_date,R 3053,completed,web
491.0,4574.0,invalid_date,R 2180,CANCELLED,web
492.0,2424.0,invalid_date,"R4451,23",,app
493.0,2841.0,,R 3163,,
494.0,1742.0,1985-08-31,"R2825,76",Completed,app
495.0,2269.0,invalid_date,,completed,web
496.0,4617.0,2000-05-22,R -200,,store
497.0,3050.0,06/02/1997,3878,completed,web
498.0,1126.0,,"R4869,43",Completed,app
499.0,3344.0,,"R1720,82",Done,web
500.0,2498.0,1981-10-13,,,app
501.0,2194.0,1985-11-02,,Completed,web
502.0,2504.0,1978/09/01,R 2109,Completed,store
503.0,3913.0,invalid_date,"R126,68",Done,web
504.0,4006.0,2006/12/29,1379,Completed,app
505.0,416.0,2018/02/28,893,completed,
506.0,4863.0,2014/05/11,"R4878,68",Completed,app
507.0,4526.0,invalid_date,"R405,19",Done,app
508.0,2738.0,07/03/2021,"R1248,39",completed,
509.0,3169.0,,R 4286,Done,store
510.0,2802.0,1994-02-11,R 2010,completed,
511.0,1978.0,1988-01-11,1005,Completed,app
512.0,283.0,1996-02-27,"R3235,19",CANCELLED,app
513.0,309.0,,4807,CANCELLED,
514.0,4779.0,,"R842,26",CANCELLED,app
515.0,3844.0,1991/04/19,4099,,app
516.0,1593.0,,R -200,Completed,
517.0,3943.0,01/02/1997,R 2649,Done,web
518.0,2745.0,,504,,web
519.0,161.0,2011/05/05,,completed,web
520.0,3436.0,invalid_date,R -200,Done,
521.0,,2000-07-21,"R2576,39",Done,
522.0,1415.0,,1897,Done,app
523.0,179.0,09/04/2002,R -200,Completed,app
524.0,3113.0,2010-07-23,,completed,store
525.0,,invalid_date,,CANCELLED,app
526.0,2669.0,invalid_date,R 3348,Completed,web
527.0,879.0,,R -200,Done,web
528.0,4860.0,2018-12-21,R 4270,completed,
529.0,3475.0,2018-05-17,"R492,85",Completed,app
530.0,3853.0,2019-04-02,,CANCELLED,web
531.0,3802.0,1979/02/19,R 3498,CANCELLED,web
532.0,2952.0,,R -200,,store
533.0,,1985-04-10,"R173,41",Done,app
534.0,1302.0,20/05/1992,R -200,completed,app
535.0,2666.0,2023/04/13,,Done,
536.0,,,,,web
537.0,464.0,2003-08-19,,Done,store
538.0,4400.0,,4406,Completed,app
539.0,4930.0,,R -200,,
540.0,4910.0,1982/04/23,,completed,app
541.0,3092.0,2005/01/31,R -200,,app
542.0,829.0,,"R4319,92",CANCELLED,web
543.0,4514.0,,4011,,web
544.0,3850.0,1980/01/27,R 382,CANCELLED,store
545.0,154.0,2004/08/05,R -200,,app
546.0,4631.0,,R -200,completed,store
547.0,2040.0,invalid_date,,,app
548.0,4408.0,invalid_date,R 3856,Done,app
549.0,4432.0,09/04/1970,R -200,,app
,3797.0,invalid_date,"R1675,97",Done,
551.0,3601.0,invalid_date,R 4067,Completed,store
552.0,687.0,,R 3561,CANCELLED,app
553.0,1455.0,2024/07/02,R 3000,completed,web
554.0,3488.0,,"R622,42",Done,
555.0,2596.0,,R -200,Done,store
556.0,,,R -200,completed,app
557.0,2904.0,1999-09-24,R 270,Done,
558.0,1873.0,,,CANCELLED,web
559.0,4671.0,2010-04-07,"R2925,82",CANCELLED,web
560.0,590.0,2015-07-16,"R1922,52",Done,web
561.0,1746.0,invalid_date,,,store
562.0,3625.0,1978/07/22,1190,Completed,app
563.0,812.0,invalid_date,3742,,app
564.0,3958.0,invalid_date,"R1912,40",Completed,
565.0,,04/05/1999,"R4915,82",Done,web
566.0,714.0,1986-02-05,R 1665,completed,store
567.0,422.0,2025/02/26,"R4343,89",,store
568.0,3363.0,,"R608,34",CANCELLED,store
569.0,,2018/09/26,,CANCELLED,web
570.0,3975.0,,4958,Done,store
571.0,,,,Completed,store
572.0,1657.0,invalid_date,3068,Completed,store
573.0,1599.0,2003-08-03,R -200,Done,app
574.0,89.0,1979/02/16,,completed,
575.0,1234.0,2004-10-18,"R853,73",Done,store
576.0,2221.0,15/07/1993,968,,store
577.0,1693.0,,"R1691,82",completed,web
,3868.0,invalid_date,R -200,Completed,web
579.0,415.0,invalid_date,,CANCELLED,app
580.0,4654.0,invalid_date,"R1205,86",Completed,
581.0,2933.0,,"R1768,28",Done,store
,4475.0,1980-12-03,R -200,Done,app
583.0,683.0,invalid_date,"R697,41",Completed,
584.0,1712.0,13/05/2021,,,app
585.0,638.0,,R 2380,Done,web
,4837.0,2004-12-14,,CANCELLED,store
587.0,,27/01/1975,R -200,completed,
588.0,1417.0,03/09/1985,"R1079,2",completed,web
589.0,1516.0,invalid_date,R -200,Done,app
590.0,2150.0,invalid_date,R 868,Completed,store
591.0,3524.0,invalid_date,R -200,CANCELLED,
592.0,2534.0,invalid_date,2658,CANCELLED,web
593.0,3273.0,invalid_date,3814,,store
594.0,2387.0,2021-09-12,,,app
595.0,3226.0,10/03/1992,,completed,app
596.0,225.0,invalid_date,R 2224,,
597.0,1183.0,11/05/2007,"R479,2",CANCELLED,store
598.0,353.0,,"R2834,17",CANCELLED,app
599.0,2881.0,1987/02/07,"R3157,1",CANCELLED,
600.0,18.0,invalid_date,228,Completed,
601.0,,02/01/1988,"R4574,79",completed,
602.0,2747.0,invalid_date,,Done,
603.0,264.0,,,CANCELLED,
604.0,4498.0,17/08/2003,R 756,,
