transaction_id,order_id,payment_method,transaction_amount,transaction_date,success_flag
120.0,1701,,3393,2023-03-32,Y
121.0,1130,Cash,NaN,2020-05-21,maybe
122.0,648,Cash,-1691.8147455292583,,N
123.0,4854,,NaN,2023-03-32,Y
,4814,Card,-928.5956947011271,30/01/2025,maybe
,3342,,NaN,2023-03-32,maybe
126.0,484,Card,2411.7469706791726,1979-05-23,Y
127.0,2986,card,3947.0140552837174,14/03/1974,
128.0,999999,card,3800.079705917391,09/11/1970,maybe
129.0,701,Cash,2188.74431749048,2023-03-32,
130.0,4500,Card,4032,,maybe
131.0,1695,,NaN,,N
132.0,3164,Crypto,NaN,02/11/2023,
133.0,266,Card,4103,1970-05-17,maybe
134.0,2033,Crypto,4089,21/02/2018,maybe
135.0,884,Card,169.9826953451693,18/01/2013,N
136.0,1506,Cash,3934,,
137.0,2940,,2686,,
138.0,999999,CASH,4552,19/11/2003,Y
139.0,2056,Crypto,4572,08/02/1982,maybe
140.0,1939,Card,NaN,2005-06-02,
141.0,2823,Crypto,4597,,
,655,Cash,NaN,2023-03-32,N
143.0,999999,Card,1678,07/06/2001,maybe
144.0,487,CASH,3070.3984565130677,2023-03-32,maybe
145.0,3939,card,1744.9183427490434,,N
146.0,3209,card,3375,1971-10-09,N
,930,CASH,1590,03/10/2006,Y
148.0,1687,Cash,3277.7801748761203,25/09/1992,
149.0,908,Cash,74,1970-09-06,
150.0,3756,Crypto,4121,30/12/2021,N
151.0,1280,,-535.0499025957233,2023-03-32,Y
152.0,3401,Crypto,NaN,01/07/2000,Y
153.0,2290,Crypto,29.51684940035716,2023-03-32,maybe
154.0,1373,Crypto,1494,2023-03-32,N
155.0,4467,Crypto,125,2023-03-32,Y
156.0,2667,card,NaN,22/07/2003,
157.0,136,Cash,1993,12/09/1999,N
158.0,2829,Cash,-621.2330598169428,09/01/2014,Y
159.0,1604,Card,2338,23/12/1973,
160.0,4684,Cash,2412.2150026023473,2009-04-10,
161.0,4046,Crypto,3327,,
162.0,489,Card,-1666.8644426928665,2020-02-27,Y
163.0,3019,CASH,NaN,,Y
164.0,3033,,NaN,2023-03-32,maybe
165.0,4340,,1898.5937564271303,23/05/2013,N
166.0,999999,CASH,3652,,
,4961,Cash,NaN,04/08/1985,maybe
168.0,999999,Crypto,3718,,maybe
169.0,4962,Card,NaN,2021-02-22,N
170.0,3955,Crypto,2084,2023-03-32,Y
171.0,405,card,NaN,,maybe
172.0,947,card,3077,1986-05-04,Y
173.0,3765,,NaN,1999-11-20,Y
174.0,41,Crypto,1923,1971-09-22,maybe
175.0,4814,,4843,25/05/1993,N
176.0,2918,CASH,-530.5989813050733,23/06/1999,Y
177.0,4435,,NaN,2023-03-32,
178.0,4950,,-238.4487504636179,,maybe
179.0,4682,Card,3616,21/10/2007,Y
180.0,2343,CASH,-851.753649375064,2023-03-32,N
181.0,999999,card,4518.157368709215,,maybe
182.0,2572,card,-1965.2994022661385,2003-02-23,maybe
183.0,168,CASH,NaN,2023-03-32,N
184.0,821,Crypto,2980,,Y
185.0,2827,Card,NaN,02/10/1999,maybe
186.0,3154,CASH,NaN,2023-03-32,maybe
187.0,3641,card,NaN,2023-03-32,Y
188.0,4579,CASH,3425,19/07/1999,Y
189.0,999999,Card,NaN,1973-12-15,N
190.0,957,card,NaN,2023-03-32,maybe
191.0,339,,593,2023-03-32,N
192.0,827,Crypto,1562,07/06/2018,maybe
193.0,4923,CASH,NaN,2023-03-32,
194.0,3364,Card,2592.2158859095407,,
195.0,1429,Crypto,2883,,maybe
196.0,3718,card,NaN,2007-02-27,maybe
197.0,854,Crypto,NaN,15/04/2013,maybe
198.0,4741,CASH,NaN,23/11/1970,Y
199.0,421,Cash,NaN,,N
200.0,3280,card,2323,04/08/1975,
201.0,4744,card,4456,24/03/1995,maybe
202.0,2329,CASH,4883.721470592219,23/03/2014,maybe
203.0,849,CASH,NaN,20/11/2022,
204.0,701,card,NaN,20/04/2017,
205.0,2014,,NaN,2010-04-28,Y
206.0,4855,,4008,20/11/2014,Y
207.0,4476,,46.602074869410444,12/05/2019,N
208.0,999999,Card,NaN,2023-03-32,Y
209.0,2108,Cash,57,1996-08-13,maybe
210.0,1085,Cash,-372.0506084264216,1970-11-20,Y
211.0,22,card,-1891.010243834838,2023-03-32,maybe
212.0,2570,card,NaN,18/02/2004,Y
213.0,2511,CASH,NaN,2010-04-23,maybe
,4404,Cash,-829.0439056061007,,Y
215.0,2809,Card,2983.0124059249765,,
216.0,1405,card,NaN,1976-11-04,Y
217.0,999999,Card,843,2023-03-32,maybe
218.0,4579,CASH,NaN,19/10/1975,Y
219.0,999999,Crypto,608,2023-03-32,maybe
220.0,856,Card,863,13/11/1993,N
221.0,940,Crypto,2636.0306484212024,10/06/1983,Y
222.0,2123,Card,1038,,
223.0,376,Card,NaN,2023-03-32,maybe
224.0,999999,CASH,NaN,2023-03-32,
225.0,4395,Cash,NaN,,maybe
226.0,1272,Crypto,4476.176657397744,23/09/1995,Y
227.0,2114,Crypto,NaN,,maybe
228.0,999999,,NaN,2023-03-32,Y
229.0,2577,CASH,NaN,01/02/1991,Y
230.0,4377,Card,-348.03566138514,2003-02-22,maybe
231.0,999999,Cash,3797,1971-10-30,Y
232.0,3804,,4499,,N
233.0,4551,Crypto,NaN,2023-03-32,Y
234.0,999999,CASH,NaN,,Y
235.0,3824,Card,4232,,maybe
236.0,3916,Card,NaN,2020-09-03,Y
237.0,3864,Crypto,2328,,maybe
238.0,3150,card,-1989.8965490816513,,Y
239.0,2009,card,NaN,,maybe
240.0,4744,CASH,NaN,1972-07-15,
241.0,749,Crypto,NaN,2023-03-32,
242.0,4203,,336,2023-03-32,N
243.0,2790,CASH,NaN,2023-03-32,Y
244.0,284,Card,-81.19594135379293,2023-03-32,N
245.0,4342,Cash,2613.606096262424,08/06/2019,Y
246.0,1550,Cash,NaN,23/01/1970,maybe
247.0,1367,Crypto,4885,,N
248.0,3366,Card,NaN,20/07/1986,Y
249.0,4806,card,NaN,,Y
250.0,3830,Crypto,NaN,2023-03-32,maybe
251.0,3644,Card,NaN,2023-03-32,Y
252.0,999999,Cash,-1695.1760673515903,2023-03-32,
253.0,4217,Card,2760,10/12/2023,maybe
254.0,3223,,4664,,Y
255.0,1872,Cash,1600,26/09/2020,Y
256.0,4069,CASH,2271,06/10/1991,maybe
257.0,1463,Cash,4095.757689072414,20/08/1983,Y
258.0,999999,CASH,3300,08/10/2015,Y
259.0,3493,card,NaN,22/12/2000,N
260.0,1708,CASH,358.22221777208415,2023-03-32,N
261.0,999999,,2645,2023-03-32,
262.0,2210,Crypto,NaN,2020-02-23,Y
263.0,4202,card,4357,2023-03-32,N
264.0,3106,Cash,1797.3587370988835,,maybe
265.0,2519,Card,1981.7919789992961,,
266.0,335,Crypto,NaN,1984-06-21,N
267.0,999999,Crypto,NaN,11/09/1971,Y
268.0,3718,Cash,NaN,1990-06-28,Y
269.0,999999,Cash,4774,15/07/1987,maybe
270.0,1609,Cash,2249.741826299325,,
271.0,999999,CASH,4023.725734863662,08/02/1985,Y
272.0,3827,Crypto,NaN,,maybe
273.0,4893,card,NaN,2010-07-07,N
274.0,2416,card,NaN,1978-06-26,
275.0,1758,Card,776,19/11/1982,maybe
276.0,2860,card,4671,,N
277.0,830,Card,290,1999-06-04,Y
278.0,1538,Cash,4561,04/02/2009,maybe
279.0,1286,,NaN,,N
280.0,4976,Cash,3892,,maybe
281.0,1973,,NaN,,N
282.0,3695,Card,208.2844371827009,1992-10-11,N
283.0,2082,card,1077.2328381430607,,maybe
,1047,Cash,1291,1979-11-14,maybe
285.0,2213,Cash,NaN,17/05/2012,Y
286.0,4360,Crypto,NaN,,N
287.0,1706,card,NaN,,Y
288.0,1191,Cash,2137.6973673426337,,
289.0,3848,Cash,3543,04/11/2022,maybe
290.0,638,Card,1693,2025-01-09,
291.0,536,card,NaN,,maybe
292.0,3838,Card,1408.5537451267737,1983-05-17,Y
293.0,4471,Card,-1103.7598736521443,,
294.0,773,Cash,NaN,14/03/1979,maybe
295.0,2840,CASH,311.0701992943018,1994-02-18,
296.0,3241,card,4771.01719358828,02/05/1996,N
297.0,2179,Cash,4059,,Y
298.0,3043,,4275.155514976405,2008-08-01,Y
299.0,4310,,3018.2253225801032,2023-03-32,Y
300.0,3983,Crypto,3625.397306674332,16/08/1978,
301.0,4371,Crypto,NaN,2023-03-32,Y
302.0,4867,Cash,-1457.85584035083,1989-01-04,maybe
303.0,3801,,NaN,2017-08-30,
304.0,4912,,NaN,03/10/1978,Y
305.0,1761,,1601,,
306.0,999999,card,702,1982-03-22,
307.0,4928,Cash,4029,1982-11-30,
308.0,999999,,2957,26/10/1987,
309.0,2536,Cash,NaN,1983-11-11,Y
310.0,4481,,260,02/05/1976,maybe
311.0,1307,,NaN,2023-03-32,maybe
312.0,4816,,979,2016-10-20,maybe
313.0,1344,card,NaN,,maybe
314.0,3163,card,NaN,,Y
315.0,999999,Crypto,493.42832695026664,2015-06-27,N
,3069,,NaN,05/04/2010,N
317.0,1416,Crypto,NaN,2023-03-32,Y
318.0,3316,Card,430.1944652705902,,N
319.0,722,CASH,2802,21/05/1987,
320.0,4050,,4088.607331152005,2023-03-32,Y
321.0,1482,Card,NaN,2023-03-32,maybe
322.0,3474,CASH,NaN,1975-01-06,maybe
323.0,1384,Cash,NaN,,N
324.0,4671,card,4269.870896230634,2003-11-09,maybe
325.0,2788,Crypto,2123.9759623570108,,maybe
326.0,1446,CASH,2807,2023-03-32,maybe
327.0,4719,Cash,NaN,1979-06-21,maybe
328.0,999999,card,1061,2023-03-32,maybe
329.0,4135,Card,NaN,,
330.0,3266,,-1529.130739047981,2015-11-25,
331.0,999999,card,4168,09/01/1976,Y
332.0,999999,Card,3060,,maybe
333.0,780,Card,3715.9835833834813,20/03/1981,maybe
334.0,999999,Cash,3179.51981733274,2022-01-16,
335.0,2882,Crypto,NaN,08/05/1979,
336.0,999999,Crypto,3879.501951720855,,maybe
337.0,3072,CASH,NaN,2023-03-32,maybe
338.0,999999,,-1577.2312924112102,,Y
339.0,999999,card,4736.333937715962,2023-03-32,Y
340.0,2416,card,NaN,18/05/1983,maybe
,1884,Crypto,-501.6761529506109,1990-03-26,
342.0,1257,,NaN,28/02/2021,maybe
343.0,2044,Cash,3455.1112089818826,1974-01-07,maybe
344.0,1933,,NaN,2023-03-32,N
345.0,2664,Card,2655,,maybe
346.0,4068,Crypto,NaN,,Y
347.0,1498,CASH,4252,,maybe
348.0,1764,CASH,-831.6327920423862,,Y
349.0,4445,Crypto,NaN,16/08/1991,Y
350.0,2455,Card,1043,,maybe
351.0,1766,CASH,NaN,08/02/1989,
352.0,4554,Cash,1410,2023-03-32,
353.0,139,Crypto,2278,28/05/2025,
354.0,253,Card,-935.6662828851997,09/05/2018,maybe
355.0,4707,Crypto,2660.0896581400148,2003-12-13,Y
356.0,964,,776,2023-03-32,Y
357.0,554,card,4392.416431686227,16/12/2000,Y
358.0,1776,CASH,4953,09/08/2019,Y
359.0,2101,,4829.220332786156,05/12/2024,Y
360.0,2280,Card,667.557650998312,18/03/1992,
361.0,4042,CASH,-1020.8287236223701,,N
362.0,1910,card,NaN,,
363.0,2700,,NaN,2006-03-30,
364.0,4826,,NaN,2023-03-32,
365.0,1643,CASH,NaN,1973-10-30,Y
366.0,999999,Cash,815,,N
367.0,3331,Crypto,2252.6926240819166,,N
368.0,1577,CASH,1897,1974-03-30,N
369.0,2591,CASH,NaN,,N
370.0,492,Cash,2530,,maybe
371.0,1358,CASH,4506.701256398618,22/02/1986,Y
372.0,3370,Card,2827,2023-03-32,
373.0,4061,Card,3213.8947137739115,2023-03-32,Y
374.0,1023,,3534.7291740404708,06/01/1979,maybe
,1802,Cash,1876,2013-07-22,N
376.0,4270,card,4194,1978-03-03,N
,1016,Cash,2934.203266457449,1973-08-10,maybe
378.0,2760,Crypto,NaN,1992-02-02,N
379.0,3107,card,-752.4400613111557,,
,2274,Card,-1880.1514736307715,1979-02-05,
381.0,657,Crypto,1596.8145076680844,2023-03-32,Y
382.0,3189,Crypto,3193.444276419292,2020-09-04,maybe
,1241,Cash,957.5390549967042,12/12/1981,maybe
384.0,1155,Card,NaN,,maybe
385.0,469,card,4881.653960653795,23/02/1974,Y
386.0,999999,Crypto,3084.3957176027297,2010-05-15,N
387.0,3209,card,4385,2023-03-32,
388.0,336,,849,02/03/1988,N
389.0,196,Card,122,2023-03-32,
390.0,364,CASH,2398.4162636362234,,N
391.0,1408,Crypto,NaN,,N
392.0,3374,Cash,4537,2024-09-16,
393.0,2790,,2457.7683833014844,,maybe
394.0,2498,Card,-1505.0584468089487,,Y
395.0,2368,,4057,22/02/1987,N
396.0,3246,,NaN,1994-03-25,Y
397.0,4686,,-528.763477868684,11/11/2003,maybe
398.0,2590,CASH,-804.1301038707281,1993-08-03,maybe
399.0,3862,CASH,2133.4644583485333,1993-11-05,maybe
400.0,768,Crypto,4778.14568863164,1985-03-22,N
,3781,card,-1072.8527666309133,2016-01-18,maybe
402.0,849,CASH,NaN,,maybe
403.0,4851,Card,3475,2023-03-32,
404.0,3521,card,876,,maybe
405.0,4650,Card,522,2006-02-01,
406.0,548,Crypto,3974.401794982,1976-12-31,N
,839,,NaN,2023-03-32,N
408.0,4902,Card,610.360441515872,16/04/2025,
409.0,3770,CASH,NaN,2023-03-32,Y
410.0,1868,Card,NaN,07/01/2007,N
,999999,Crypto,NaN,2023-03-32,Y
412.0,1063,Card,NaN,2019-08-29,maybe
413.0,3896,CASH,NaN,1977-11-22,Y
414.0,4178,CASH,NaN,2023-03-32,maybe
415.0,671,Card,NaN,,maybe
416.0,2479,card,NaN,1999-01-09,
417.0,1384,Cash,570,,
418.0,4489,Cash,831,1980-01-06,maybe
419.0,2344,card,4207,,N
420.0,503,Card,1895,18/11/2018,Y
421.0,3358,CASH,865.9104457720732,12/07/1996,N
422.0,999999,CASH,NaN,1979-03-20,Y
423.0,322,Crypto,4014.5146803796497,2023-03-32,
424.0,3351,CASH,552.031562956216,2023-03-32,N
425.0,4996,Crypto,NaN,,maybe
426.0,4126,Card,1822,,N
427.0,419,Cash,2653,02/04/1980,N
428.0,1336,Cash,-674.0465178197637,,N
429.0,461,Crypto,NaN,1984-09-15,N
430.0,2881,card,764.8295349085943,2023-03-32,maybe
431.0,1512,CASH,NaN,2023-03-32,maybe
432.0,1747,Card,4346,2011-01-11,
433.0,1360,card,NaN,1971-05-27,
434.0,1113,Card,4656.608118871639,2023-03-32,Y
435.0,4405,Cash,NaN,,N
436.0,1674,Cash,24,2023-03-32,N
437.0,999999,Crypto,1172.6490348475845,2008-04-29,maybe
438.0,2459,Cash,4087,30/05/1974,Y
439.0,2131,,NaN,14/07/2004,maybe
440.0,4401,card,1829,2023-03-32,N
,4295,CASH,NaN,1985-12-30,
442.0,3193,card,3974.2446898739536,1971-02-24,maybe
443.0,391,card,609.869802182031,1996-06-15,N
444.0,2481,,NaN,1992-06-12,N
445.0,999999,,-263.09165539543187,2002-04-23,N
446.0,3256,Cash,2188,01/11/1973,Y
447.0,4113,card,18.73602506790121,26/10/2012,Y
448.0,2680,Card,3630.9393430095315,2023-03-32,
449.0,3777,,1122.0493460911262,,N
450.0,4381,Crypto,3037,2023-03-32,
451.0,3879,Cash,NaN,,
452.0,3634,card,NaN,14/11/1999,
453.0,665,card,NaN,2023-03-32,
454.0,1084,Cash,365,14/02/2002,Y
455.0,939,CASH,1408,2023-03-32,Y
456.0,612,Cash,929,23/12/2021,N
457.0,1863,Crypto,-1743.1494038209028,,
458.0,712,Card,-720.2170598408582,1982-03-08,Y
459.0,3683,,4091.4174191088805,14/09/1989,maybe
460.0,381,card,NaN,1970-01-26,Y
461.0,999999,card,955.2988423217676,2023-03-32,
462.0,2738,Crypto,NaN,2023-03-32,Y
463.0,2244,,-1410.929805660709,1992-07-12,maybe
464.0,1426,CASH,NaN,2014-08-22,maybe
465.0,3116,Card,-1191.4574606412107,26/05/2006,N
466.0,3194,Crypto,2766.0775163330463,2023-03-32,Y
467.0,3589,CASH,NaN,2023-03-32,Y
468.0,2345,Card,3465,1985-11-14,N
469.0,2232,card,-441.56211016736324,2023-03-32,N
470.0,1255,Card,NaN,2023-03-32,N
471.0,987,Cash,NaN,,N
472.0,999999,,NaN,,Y
473.0,1303,,2748.6474164944366,2023-03-32,N
474.0,999999,card,2711.1364114618327,2023-03-32,maybe
475.0,1380,Cash,476.6672818093084,,N
476.0,321,,151,11/05/2001,
477.0,3041,Card,4551,2023-03-32,maybe
478.0,1114,Cash,4090.9907174440013,2023-03-32,
479.0,4553,Cash,1053.2410444781103,1974-11-23,Y
480.0,3539,card,3297,2023-03-32,N
481.0,1271,Card,2404,08/12/1985,N
482.0,4116,CASH,903,,Y
483.0,999999,card,NaN,2004-05-11,N
484.0,4231,card,NaN,,Y
485.0,999999,,1613.3682309600995,23/07/2015,Y
486.0,3817,Crypto,-640.9048224842566,2016-12-04,N
487.0,1221,Card,NaN,09/09/1972,
488.0,999999,CASH,2905,,
489.0,692,Crypto,4776.53307553361,,Y
490.0,1113,,2834.8280173926296,16/09/2022,
491.0,3904,card,NaN,22/10/1980,Y
492.0,852,Cash,NaN,1989-10-25,
493.0,855,,-340.5339422486427,2023-03-32,maybe
494.0,4337,CASH,-451.41388529962774,2023-03-32,Y
495.0,3087,,NaN,,Y
496.0,3638,Cash,NaN,2023-03-32,
497.0,3694,card,-460.96950297221224,,
498.0,1476,card,NaN,1971-05-04,Y
499.0,3910,Card,NaN,22/04/1981,
500.0,2365,card,-1814.9256106857474,12/02/1999,Y
501.0,4905,card,808.2877264354661,2022-09-03,maybe
502.0,3126,card,-1034.01481467334,23/06/1994,
503.0,705,card,NaN,17/08/1987,Y
504.0,3083,card,1878.4104553800062,,Y
505.0,4834,CASH,286,25/10/2025,
506.0,225,card,NaN,21/07/1970,
507.0,1779,Cash,1434,,maybe
508.0,663,Crypto,4606,2010-02-20,maybe
509.0,999999,,-87.98813274328313,,Y
510.0,1877,CASH,-188.56012589380452,,Y
511.0,2877,Cash,2749.534375939965,1971-08-26,Y
512.0,999999,Cash,1054,12/11/2005,Y
513.0,4465,Card,1496,2023-03-32,Y
514.0,822,Crypto,763.0273932274445,,N
515.0,3208,Card,2640.7297897831722,07/09/1986,
516.0,435,card,2805,2023-03-32,
517.0,4066,Card,2470.790902434712,2023-03-32,maybe
518.0,4078,Card,-1497.9081050612433,,
519.0,3766,,NaN,,maybe
520.0,2843,Card,3183,03/10/1974,
521.0,999999,Card,4398,,
522.0,2534,Card,2703.250380859391,2023-03-32,
523.0,3950,Cash,NaN,,Y
524.0,4804,,3705,2023-03-32,maybe
525.0,206,Card,-1920.4367771904283,2006-04-20,
526.0,3660,CASH,1055.4726875468405,,
527.0,999999,Cash,NaN,09/09/2000,
528.0,3109,CASH,1866.908904879911,2023-03-32,maybe
529.0,3617,Card,4054.560797085075,,N
530.0,1544,card,NaN,2023-03-32,
,3162,Crypto,2986,,N
532.0,463,Cash,1845,15/04/1991,Y
533.0,638,card,-1593.245815962675,2023-03-32,maybe
534.0,2444,,1111,,maybe
535.0,999999,Crypto,-569.8151346452437,1978-08-10,
536.0,4499,,NaN,,maybe
537.0,1868,card,NaN,10/03/1983,maybe
538.0,839,,3547.301962025562,2016-04-19,Y
539.0,3180,Cash,NaN,,Y
540.0,3127,,4679,1985-02-10,maybe
541.0,2291,card,4165,2023-03-32,maybe
542.0,4817,Card,3945,1971-11-04,maybe
543.0,2858,,NaN,21/09/1992,
544.0,2582,CASH,NaN,25/01/1987,maybe
545.0,626,,3889.3950829386185,1976-10-27,
546.0,4979,card,3912.1073614416728,2023-03-32,
547.0,4934,Card,639,2017-10-14,N
548.0,2796,card,NaN,2023-03-32,N
549.0,2474,Crypto,NaN,03/04/2013,maybe
550.0,3911,Card,NaN,,N
551.0,4465,Card,NaN,2023-03-32,
552.0,4939,Cash,3112.889684888337,2002-05-04,maybe
553.0,1418,Crypto,NaN,2023-03-32,maybe
554.0,2577,Cash,4743,1995-04-15,Y
555.0,4154,card,NaN,2023-03-32,maybe
556.0,1011,Crypto,283.59557945143797,,maybe
557.0,637,Card,4254,06/04/1992,maybe
558.0,4749,Cash,527,2006-11-03,maybe
559.0,4980,CASH,NaN,26/11/2001,N
560.0,1735,Cash,NaN,08/09/2014,
561.0,4408,Card,966,2009-06-05,
562.0,2782,Crypto,4024,2023-03-32,N
563.0,3512,Crypto,NaN,2012-05-31,
564.0,3330,,NaN,,Y
565.0,3411,Crypto,4409,2023-03-32,Y
,629,Cash,-265.4315756390331,2023-03-32,N
567.0,2794,Cash,NaN,1976-11-25,maybe
568.0,2332,Cash,NaN,,maybe
569.0,3912,Cash,3153,2021-10-08,N
570.0,579,Cash,NaN,,
,1791,Cash,53.897237255285745,1983-09-09,Y
572.0,999999,card,1641,,maybe
573.0,255,Cash,149.71102429231496,10/06/1993,
574.0,1217,card,-479.37598318405685,16/09/1997,maybe
,3664,Crypto,459.2741948580215,02/12/1998,
576.0,1348,Crypto,1384,2023-03-32,maybe
577.0,2031,CASH,4459.404421695611,01/11/2004,maybe
578.0,2251,Cash,NaN,1979-05-12,maybe
579.0,599,Crypto,NaN,1987-07-12,N
580.0,4150,,NaN,1970-10-29,Y
581.0,4987,card,-378.56877774904683,28/11/1984,
582.0,4363,,173,1973-11-26,
583.0,3364,CASH,22.998884594991523,,Y
584.0,999999,,1193.2414418128224,1995-05-29,
585.0,999999,Card,2950,05/09/2009,N
586.0,999999,Card,4663,2023-03-32,
587.0,717,CASH,NaN,,maybe
588.0,853,CASH,250,2004-01-29,Y
,3923,,763,07/06/2007,N
590.0,2427,card,NaN,19/09/1984,N
591.0,3688,Card,2681,,
592.0,4939,card,NaN,,
,118,Cash,379,1975-05-24,maybe
594.0,3796,Card,NaN,,maybe
595.0,1505,Card,4686,26/03/1981,maybe
596.0,999999,Card,4931,2023-03-32,
597.0,4524,card,4383,02/01/2024,maybe
598.0,310,card,201,16/09/1988,Y
599.0,626,Crypto,2917,2023-03-32,maybe
600.0,4946,card,587,11/09/1995,maybe
601.0,3437,card,4347,2016-02-20,maybe
